id,displayName,sortName,party,state,district,tenureStartDate,nextElectionDate,grade
44169,Rep. Ken Buck [R-CO4],"Buck, Ken (Rep.) [R-CO4]",Republican,CO,4,1/3/2017,1/3/2019,
44170,Rep. Carlos Curbelo [R-FL26],"Curbelo, Carlos (Rep.) [R-FL26]",Republican,FL,26,1/3/2017,1/3/2019,
44171,Rep. Buddy Carter [R-GA1],"Carter, Buddy (Rep.) [R-GA1]",Republican,GA,1,1/3/2017,1/3/2019,
44172,Rep. Jody Hice [R-GA10],"Hice, Jody (Rep.) [R-GA10]",Republican,GA,10,1/3/2017,1/3/2019,
44173,Rep. Barry Loudermilk [R-GA11],"Loudermilk, Barry (Rep.) [R-GA11]",Republican,GA,11,1/3/2017,1/3/2019,
44174,Rep. Rick Allen [R-GA12],"Allen, Rick (Rep.) [R-GA12]",Republican,GA,12,1/3/2017,1/3/2019,
44175,Rep. Rod Blum [R-IA1],"Blum, Rod (Rep.) [R-IA1]",Republican,IA,1,1/3/2017,1/3/2019,
44176,Rep. David Young [R-IA3],"Young, David (Rep.) [R-IA3]",Republican,IA,3,1/3/2017,1/3/2019,
44177,Rep. Mike Bost [R-IL12],"Bost, Mike (Rep.) [R-IL12]",Republican,IL,12,1/3/2017,1/3/2019,
44178,Rep. Ralph Abraham [R-LA5],"Abraham, Ralph (Rep.) [R-LA5]",Republican,LA,5,1/3/2017,1/3/2019,
44179,Rep. Garret Graves [R-LA6],"Graves, Garret (Rep.) [R-LA6]",Republican,LA,6,1/3/2017,1/3/2019,
44180,Rep. Seth Moulton [D-MA6],"Moulton, Seth (Rep.) [D-MA6]",Democrat,MA,6,1/3/2017,1/3/2019,
44181,Rep. Bruce Poliquin [R-ME2],"Poliquin, Bruce (Rep.) [R-ME2]",Republican,ME,2,1/3/2017,1/3/2019,
44182,Rep. John Moolenaar [R-MI4],"Moolenaar, John (Rep.) [R-MI4]",Republican,MI,4,1/3/2017,1/3/2019,
44183,Rep. Mike Bishop [R-MI8],"Bishop, Mike (Rep.) [R-MI8]",Republican,MI,8,1/3/2017,1/3/2019,
44184,Rep. Dave Trott [R-MI11],"Trott, Dave (Rep.) [R-MI11]",Republican,MI,11,1/3/2017,1/3/2019,
44185,Rep. Debbie Dingell [D-MI12],"Dingell, Debbie (Rep.) [D-MI12]",Democrat,MI,12,1/3/2017,1/3/2019,
44186,Rep. Brenda Lawrence [D-MI14],"Lawrence, Brenda (Rep.) [D-MI14]",Democrat,MI,14,1/3/2017,1/3/2019,
