id,question,description,result,externalLink,voteDate
119118,On Motion to Recommit with Instructions: H.R. 1259: VA Accountability First Act of 2017,,Failed,https://www.govtrack.us/congress/votes/115-2017/h167,2017-03-16T17:51:00
119120,H.Amdt. 87 (Takano) to H.R. 1259: Amendment sought to provide for the suspension and removal of VA employees for performance or misconduct that is a threat to public health and safety in place of the proposed removal process.,On the Amendment in the House,Failed,https://www.govtrack.us/congress/votes/115-2017/h166,2017-03-16T17:33:00
119119,"H.Amdt. 82 (Walz) to H.R. 1259: Amendment sought to grant the VA Secretary improved authorities to hold VA senior executives and employees accountable, protect employees' constitutionally guaranteed due process rights, and protect employees' collective b",On the Amendment in the House,Failed,https://www.govtrack.us/congress/votes/115-2017/h165,2017-03-16T17:29:00
119115,On Approving the Journal,,Passed,https://www.govtrack.us/congress/votes/115-2017/h164,2017-03-16T14:13:00
119117,"H.Res. 198: Providing for consideration of the bill (H.R. 1259) to amend title 38, United States Code, to provide for the removal or demotion of employees of the Department of Veterans Affairs based on performance or misconduct, and for other purposes; p",On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h163,2017-03-16T14:06:00
119116,"On Ordering the Previous Question: H.Res. 198: Providing for consideration of the bill (H.R. 1259) to amend title 38, United ...",,Passed,https://www.govtrack.us/congress/votes/115-2017/h162,2017-03-16T13:58:00
119112,Table Appeal of the Ruling of the Chair,,Passed,https://www.govtrack.us/congress/votes/115-2017/h161,2017-03-15T19:47:00
119113,H.R. 648: To authorize the Secretary of the Interior to amend the Definite Plan Report for the Seedskadee Project to enable the use of the active capacity of the Fontenelle Reservoir.,On Motion to Suspend the Rules and Pass in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h160,2017-03-15T19:03:00
119114,H.R. 132: Arbuckle Project Maintenance Complex and District Office Conveyance Act of 2017,On Motion to Suspend the Rules and Pass in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h159,2017-03-15T18:57:00
119104,H.R. 720: Lawsuit Abuse Reduction Act of 2017,On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h158,2017-03-10T11:29:00
